complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
Dopamine_byDDC_and_SLC18A1,P20711,P54219,,,,P20711_P54219,DDC,VMAT1,,,
Dopamine_byDDC_and_SLC18A2,P20711,Q05940,,,,P20711_Q05940,DDC,VMAT2,,,
GABA_byGAD1_and_SLC32A1,Q9H598,Q99259,,,,Q99259_Q9H598,VIAAT,DCE1,,,
GABA_byGAD1_and_SLC6A1,P30531,Q99259,,,,P30531_Q99259,SC6A1,DCE1,,,
GABA_byGAD1_and_SLC6A11,P48066,Q99259,,,,P48066_Q99259,S6A11,DCE1,,,
GABA_byGAD1_and_SLC6A12,P48065,Q99259,,,,P48065_Q99259,S6A12,DCE1,,,
GABA_byGAD1_and_SLC6A13,Q9NSD5,Q99259,,,,Q99259_Q9NSD5,S6A13,DCE1,,,
GABA_byGAD1_and_SLC6A6,P31641,Q99259,,,,P31641_Q99259,SC6A6,DCE1,,,
GABA_byGAD1_and_SLC6A8,P48029,Q99259,,,,P48029_Q99259,SC6A8,DCE1,,,
GABA_byGAD2_and_SLC32A1,Q9H598,Q05329,,,,Q05329_Q9H598,VIAAT,DCE2,,,
GABA_byGAD2_and_SLC6A1,P30531,Q05329,,,,P30531_Q05329,SC6A1,DCE2,,,
GABA_byGAD2_and_SLC6A11,P48066,Q05329,,,,P48066_Q05329,S6A11,DCE2,,,
GABA_byGAD2_and_SLC6A12,P48065,Q05329,,,,P48065_Q05329,S6A12,DCE2,,,
GABA_byGAD2_and_SLC6A13,Q9NSD5,Q05329,,,,Q05329_Q9NSD5,S6A13,DCE2,,,
GABA_byGAD2_and_SLC6A6,P31641,Q05329,,,,P31641_Q05329,SC6A6,DCE2,,,
GABA_byGAD2_and_SLC6A8,P48029,Q05329,,,,P48029_Q05329,SC6A8,DCE2,,,
GABA-A_a1b2_complex,P14867,P47870,,,,P14867_P47870,GBRA1,GBRB2,,,
GABA-A_a1b2g2S_complex,P14867,P47870,P18507,,,P14867_P18507_P47870,GBRA1,GBRB2,GBRG2,,
GABA-A_a1b2d_complex,P14867,P47870,O14764,,,O14764_P14867_P47870,GBRA1,GBRB2,GBRD,,
GABA-A_a1b3_complex,P14867,P28472,,,,P14867_P28472,GBRA1,GBRB3,,,
GABA-A_a1b3g2S_complex,P14867,P28472,P18507,,,P14867_P18507_P28472,GBRA1,GBRB3,GBRG2,,
GABA-A_a2b3g2S_complex,P47869,P28472,P18507,,,P18507_P28472_P47869,GBRA2,GBRB3,GBRG2,,
GABA-A_a3b3g2S_complex,P34903,P28472,P18507,,,P18507_P28472_P34903,GBRA3,GBRB3,GBRG2,,
GABA-A_a3b3e_complex,P34903,P28472,P78334,,,P28472_P34903_P78334,GBRA3,GBRB3,GBRE,,
GABA-A_a3b3o_complex,P34903,P28472,Q9UN88,,,P28472_P34903_Q9UN88,GBRA3,GBRB3,GBRT,,
GABA-A_a4b2d_complex,P48169,P47870,O14764,,,O14764_P47870_P48169,GBRA4,GBRB2,GBRD,,
GABA-A_a4b3g2S_complex,P48169,P28472,P18507,,,P18507_P28472_P48169,GBRA4,GBRB3,GBRG2,,
GABA-A_a4b3d_complex,P48169,P28472,O14764,,,O14764_P28472_P48169,GBRA4,GBRB3,GBRD,,
GABA-A_a5b3g2S_complex,P31644,P28472,P18507,,,P18507_P28472_P31644,GBRA5,GBRB3,GBRG2,,
GABA-A_a6b3g2S_complex,Q16445,P28472,P18507,,,P18507_P28472_Q16445,GBRA6,GBRB3,GBRG2,,
GABA-A_a6b3d_complex,Q16445,P28472,O14764,,,O14764_P28472_Q16445,GBRA6,GBRB3,GBRD,,
Glutamate_byGLS_and_SLC17A6,Q9P2U8,O94925,,,,O94925_Q9P2U8,VGLU2,GLSK,,,
Glutamate_byGLS_and_SLC17A7,Q9P2U7,O94925,,,,O94925_Q9P2U7,VGLU1,GLSK,,,
Glutamate_byGLS_and_SLC17A8,Q8NDX2,O94925,,,,O94925_Q8NDX2,VGLU3,GLSK,,,
Glutamate_byGLS_and_SLC1A1,P43005,O94925,,,,O94925_P43005,EAA3,GLSK,,,
Glutamate_byGLS_and_SLC1A2,P43004,O94925,,,,O94925_P43004,EAA2,GLSK,,,
Glutamate_byGLS_and_SLC1A3,P43003,O94925,,,,O94925_P43003,EAA1,GLSK,,,
Glutamate_byGLS_and_SLC1A6,P48664,O94925,,,,O94925_P48664,EAA4,GLSK,,,
Glutamate_byGLS_and_SLC1A7,O00341,O94925,,,,O00341_O94925,EAA5,GLSK,,,
Glutamate_byGLS2_and_SLC17A6,Q9P2U8,Q9UI32,,,,Q9P2U8_Q9UI32,VGLU2,GLSL,,,
Glutamate_byGLS2_and_SLC17A7,Q9P2U7,Q9UI32,,,,Q9P2U7_Q9UI32,VGLU1,GLSL,,,
Glutamate_byGLS2_and_SLC17A8,Q8NDX2,Q9UI32,,,,Q8NDX2_Q9UI32,VGLU3,GLSL,,,
Glutamate_byGLS2_and_SLC1A1,P43005,Q9UI32,,,,P43005_Q9UI32,EAA3,GLSL,,,
Glutamate_byGLS2_and_SLC1A2,P43004,Q9UI32,,,,P43004_Q9UI32,EAA2,GLSL,,,
Glutamate_byGLS2_and_SLC1A3,P43003,Q9UI32,,,,P43003_Q9UI32,EAA1,GLSL,,,
Glutamate_byGLS2_and_SLC1A6,P48664,Q9UI32,,,,P48664_Q9UI32,EAA4,GLSL,,,
Glutamate_byGLS2_and_SLC1A7,O00341,Q9UI32,,,,O00341_Q9UI32,EAA5,GLSL,,,
Glutamate_Kainate_1_4_complex,P39086,Q16099,,,,P39086_Q16099,GRIK1,GRIK4,,,
Glutamate_Kainate_1_5_complex,P39086,Q16478,,,,P39086_Q16478,GRIK1,GRIK5,,,
Glutamate_Kainate_2_4_complex,Q13002,Q16099,,,,Q13002_Q16099,GRIK2,GRIK4,,,
Glutamate_Kainate_2_5_complex,Q13002,Q16478,,,,Q13002_Q16478,GRIK2,GRIK5,,,
Glutamate_Kainate_3_4_complex,Q13003,Q16099,,,,Q13003_Q16099,GRIK3,GRIK4,,,
Glutamate_Kainate_3_5_complex,Q13003,Q16478,,,,Q13003_Q16478,GRIK3,GRIK5,,,
Glutamate_NMDA_1_2A_complex,Q05586,Q12879,,,,Q05586_Q12879,NMDZ1,NMDE1,,,
Glutamate_NMDA_1_2B_complex,Q05586,Q13224,,,,Q05586_Q13224,NMDZ1,NMDE2,,,
Glutamate_NMDA_1_2C_complex,Q05586,Q14957,,,,Q05586_Q14957,NMDZ1,NMDE3,,,
Glutamate_NMDA_1_2D_complex,Q05586,O15399,,,,O15399_Q05586,NMDZ1,NMDE4,,,
Glycine_bySHMT1_and_SLC6A5,Q9Y345,P34896,,,,P34896_Q9Y345,SC6A5,GLYC,,,
Glycine_bySHMT1_and_SLC6A9,P48067,P34896,,,,P34896_P48067,SC6A9,GLYC,,,
Glycine_bySHMT2_and_SLC6A5,Q9Y345,P34897,,,,P34897_Q9Y345,SC6A5,GLYM,,,
Glycine_bySHMT2_and_SLC6A9,P48067,P34897,,,,P34897_P48067,SC6A9,GLYM,,,
Glycine_a1b_complex,P23415,P48167,,,,P23415_P48167,GLRA1,GLRB,,,
Glycine_a2_complex,P23416,,,,,P23416,GLRA2,,,,
LTC4_byLTC4S,Q16873,,,,,Q16873,LTC4S,,,,
LTD4_byGGT1,P19440,,,,,P19440,GGT1,,,,
nAChR_(a1)2b1dg_complex,P02708,P11230,Q07001,P07510,,P02708_P07510_P11230_Q07001,ACHA,ACHB,ACHD,ACHG,
nAChR_(a1)2b1de_complex,P02708,P11230,Q07001,Q04844,,P02708_P11230_Q04844_Q07001,ACHA,ACHB,ACHD,ACHE,
nAChR_a7_complex,P36544,,,,,P36544,ACHA7,,,,
Noradrenaline_byDBH_and_SLC6A2,P09172,P23975,,,,P09172_P23975,DOPO,SC6A2,,,
Noradrenaline_byDBH_and_SLC18A1,P09172,P54219,,,,P09172_P54219,DOPO,VMAT1,,,
Noradrenaline_byDBH_and_SLC18A2,P09172,Q05940,,,,P09172_Q05940,DOPO,VMAT2,,,
NRXN1_CBLN1_complex,P58400,P23435,,,,P23435_P58400,NRX1B,CBLN1,,,
PGD2_byPTGDS,P41222,,,,,P41222,PTGDS,,,,
TENM2_FLRT1_complex,Q9NT68,Q9NZU1,,,,Q9NT68_Q9NZU1,TEN2,FLRT1,,,
TENM2_FLRT3_complex,Q9NT68,Q9NZU0,,,,Q9NT68_Q9NZU0,TEN2,FLRT3,,,
TENM3_FLRT1_complex,Q9P273,Q9NZU1,,,,Q9NZU1_Q9P273,TEN3,FLRT1,,,
TENM3_FLRT3_complex,Q9P273,Q9NZU0,,,,Q9NZU0_Q9P273,TEN3,FLRT3,,,
TENM4_FLRT1_complex,Q6N022,Q9NZU1,,,,Q6N022_Q9NZU1,TEN4,FLRT1,,,
TENM4_FLRT3_complex,Q6N022,Q9NZU0,,,,Q6N022_Q9NZU0,TEN4,FLRT3,,,
hCGB1_complex,A6NKQ9,P01215,,,,A6NKQ9_P01215,CGB1,GLHA,,,
hCGB2_complex,Q6NT52,P01215,,,,P01215_Q6NT52,CGB2,GLHA,,,
hCGB3_complex,P0DN86,P01215,,,,P01215_P0DN86,CGB3,GLHA,,,
hCGB7_complex,P0DN87,P01215,,,,P01215_P0DN87,CGB7,GLHA,,,
