complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
CNTF_1R,P26992,P42702,P40189,,,P26992_P40189_P42702,CNTFR,LIFR,IL6RB,,
Corticosterone_byCYP11B1,P15538,,,,,P15538,C11B1,,,,
CUBN_AMN_complex,Q9BXJ7,O60494,,,,O60494_Q9BXJ7,AMNLS,CUBN,,,
Epinephrine_byPNMT,P11086,,,,,P11086,PNMT,,,,
Estradiol_byCYP19A1,P11511,,,,,P11511,CP19A,,,,
Estradiol_byHSD17B1,P14061,,,,,P14061,DHB1,,,,
FcRn_complex,P61769,P55899,,,,P55899_P61769,B2MG,FCGRN,,,
FDZ8_RYK,P34925,Q9H461,,,,P34925_Q9H461,RYK,FZD8,,,
fibrinogen,P02671,P02679,P02675,,,P02671_P02675_P02679,FIBA,FIBG,FIBB,,
FLT1_complex,P17948,P35968,,,,P17948_P35968,VGFR1,VGFR2,,,
Follitropin,P01215,P01225,,,,P01215_P01225,GLHA,FSHB,,,
FZD1_LRP5,O75197,Q9UP38,,,,O75197_Q9UP38,LRP5,FZD1,,,
FZD1_LRP6,O75581,Q9UP38,,,,O75581_Q9UP38,LRP6,FZD1,,,
FZD10_LRP5,O75197,Q9ULW2,,,,O75197_Q9ULW2,LRP5,FZD10,,,
FZD10_LRP6,O75581,Q9ULW2,,,,O75581_Q9ULW2,LRP6,FZD10,,,
FZD2_LRP5,O75197,Q14332,,,,O75197_Q14332,LRP5,FZD2,,,
FZD2_LRP6,O75581,Q14332,,,,O75581_Q14332,LRP6,FZD2,,,
FZD3_LRP5,O75197,Q9NPG1,,,,O75197_Q9NPG1,LRP5,FZD3,,,
FZD3_LRP6,O75581,Q9NPG1,,,,O75581_Q9NPG1,LRP6,FZD3,,,
FZD4_LRP5,O75197,Q9ULV1,,,,O75197_Q9ULV1,LRP5,FZD4,,,
FZD4_LRP6,O75581,Q9ULV1,,,,O75581_Q9ULV1,LRP6,FZD4,,,
FZD5_LRP5,O75197,Q13467,,,,O75197_Q13467,LRP5,FZD5,,,
FZD5_LRP6,O75581,Q13467,,,,O75581_Q13467,LRP6,FZD5,,,
FZD6_LRP5,O75197,O60353,,,,O60353_O75197,LRP5,FZD6,,,
FZD6_LRP6,O75581,O60353,,,,O60353_O75581,LRP6,FZD6,,,
FZD7_LRP5,O75197,O75084,,,,O75084_O75197,LRP5,FZD7,,,
FZD7_LRP6,O75581,O75084,,,,O75084_O75581,LRP6,FZD7,,,
FZD8_LRP5,O75197,Q9H461,,,,O75197_Q9H461,LRP5,FZD8,,,
FZD8_LRP6,O75581,Q9H461,,,,O75581_Q9H461,LRP6,FZD8,,,
FZD9_LRP5,O75197,O00144,,,,O00144_O75197,LRP5,FZD9,,,
FZD9_LRP6,O75581,O00144,,,,O00144_O75581,LRP6,FZD9,,,
GALR1,P47211,Q8TDV0,,,,P47211_Q8TDV0,GALR1,GP151,,,
GALR2,O43603,Q8TDV0,,,,O43603_Q8TDV0,GALR2,GP151,,,
GALR3,O60755,Q8TDV0,,,,O60755_Q8TDV0,GALR3,GP151,,,
glyco_Lutropin,P01215,P01229,,,,P01215_P01229,GLHA,LSHB,,,
Glycoprotein_Ib_complex,P07359,P13224,,,,P07359_P13224,GP1BA,GP1BB,,,
GMCSFR,P32927,P15509,,,,P15509_P32927,IL3RB,CSF2R,,,
Histamine_byHDC,P19113,,,,,P19113,DCHS,,,,
IGF1R_enhancerComGPC3,P08069,P51654,,,,P08069_P51654,IGF1R,GPC3,,,
IL1_receptor,P14778,Q9NPH3,,,,P14778_Q9NPH3,IL1R1,IL1AP,,,
IL1_receptor_inhibitor,P27930,Q9NPH3,,,,P27930_Q9NPH3,IL1R2,IL1AP,,,
IL10_receptor,Q13651,Q08334,,,,Q08334_Q13651,I10R1,I10R2,,,
IL11_receptor,Q14626,P40189,,,,P40189_Q14626,I11RA,IL6RB,,,
IL12,P29459,P29460,,,,P29459_P29460,IL12A,IL12B,,,
IL12_receptor,P42701,Q99665,,,,P42701_Q99665,I12R1,I12R2,,,
IL13_receptor,P78552,P24394,,,,P24394_P78552,I13R1,IL4RA,,,
IL15_receptor,Q13261,P14784,,,,P14784_Q13261,I15RA,IL2RB,,,
IL17_AF,Q16552,Q96PD4,,,,Q16552_Q96PD4,IL17,IL17F,,,
IL17_receptor_AB,Q96F46,Q9NRM6,,,,Q96F46_Q9NRM6,I17RA,I17RB,,,
IL17_receptor_AC,Q96F46,Q8NAC3,,,,Q8NAC3_Q96F46,I17RA,I17RC,,,
IL17_receptor_AE,Q96F46,Q8NFR9,,,,Q8NFR9_Q96F46,I17RA,I17RE,,,
IL18_receptor,Q13478,O95256,,,,O95256_Q13478,IL18R,I18RA,,,
IL2_receptor_HA,P01589,P14784,P31785,,,P01589_P14784_P31785,IL2RA,IL2RB,IL2RG,,
IL2_receptor_I,P14784,P31785,,,,P14784_P31785,IL2RB,IL2RG,,,
IL20_receptor_Type_I,Q9UHF4,Q6UXL0,,,,Q6UXL0_Q9UHF4,I20RA,I20RB,,,
IL20_receptor_Type_II,Q8N6P7,Q6UXL0,,,,Q6UXL0_Q8N6P7,I22R1,I20RB,,,
IL21_receptor,Q9HBE5,P31785,,,,P31785_Q9HBE5,IL21R,IL2RG,,,
IL22_receptor,Q8N6P7,Q08334,,,,Q08334_Q8N6P7,I22R1,I10R2,,,
IL23,P29460,Q9NPF7,,,,P29460_Q9NPF7,IL12B,IL23A,,,
IL23_receptor,P42701,Q5VWK5,,,,P42701_Q5VWK5,I12R1,IL23R,,,
